PROVIDERCODE,PROVIDERNAME,ADDRESS,PROVINCE,REGION,ACCREDITATION,GEOMETRY,FRAME
880000000013862,TOOTHCARE DENTAL CLINIC,"X- SITE ARCADE BF RESORT DRIVE BF RESORT VILLAGE,, LAS PIÑAS CITY, METRO MANILA, PHILIPPINES",METRO MANILA,NCR,MAXICARE-ACCREDITED DENTAL CLINIC,"<Point><coordinates>120.992516,14.443210,0.000000</coordinates></Point>",
880000000014612,FAMILY ACCESS HEALTH GROUP,"SIMOUN CORNER IBARRA STREETS, SAMPALOC, MANILA CITY, METRO MANILA, PHILIPPINES",METRO MANILA,NCR,MAXICARE-ACCREDITED CLINIC,"<Point><coordinates>120.992958,14.621832,0.000000</coordinates></Point>",
880000000009388,HEARTLINE MEDICAL DIAGNOSTICS,"UNIT 115 CITYLAND TOWER 2, PABLO OCAMPO SR. AVE., MALATE, MANILA CITY, METRO MANILA, PHILIPPINES",METRO MANILA,NCR,MAXICARE-ACCREDITED CLINIC,"<Point><coordinates>120.993347,14.560812,0.000000</coordinates></Point>",
880000000014379,AYAP-RUBIO DENTAL CLINIC CO.,"4182 TOMAS CLAUDIO STREET BACLARAN,, PARAÑAQUE CITY, METRO MANILA, PHILIPPINES",METRO MANILA,NCR,MAXICARE-ACCREDITED DENTAL CLINIC,"<Point><coordinates>120.993820,14.526131,0.000000</coordinates></Point>",
880000000014611,HEARTLAND MEDICAL DIAGNOSTIC CENTER,"1717 ANGEL LINAO COR JULIO NAKPIL ST., PACO, MANILA CITY, METRO MANILA, PHILIPPINES",METRO MANILA,NCR,MOBILE PROVIDER,"<Point><coordinates>120.994011,14.575884,0.000000</coordinates></Point>",
880000000012679,MAYON CLINICAL LABORATORY & MEDICAL SERVICES,"857 LOT 3 MAYON ST., BRGY. AMORANTO, QUEZON CITY, METRO MANILA, PHILIPPINES",METRO MANILA,NCR,MAXICARE-ACCREDITED CLINIC,"<Point><coordinates>120.994072,14.635254,0.000000</coordinates></Point>",
880000000010521,E. ZARATE HOSPITAL,"16 J. AGUILAR AVENUE  TALON, LAS PIÑAS CITY, METRO MANILA, PHILIPPINES",METRO MANILA,NCR,MAXICARE-ACCREDITED HOSPITAL,"<Point><coordinates>120.994186,14.446779,0.000000</coordinates></Point>",
880000000013205,TOWER DENTAL CLINIC,"LGF H TORRE LORENZO COND, 2587 P.OCAMPO ST. COR TAFT AVE. MALATE MANILA, MANILA CITY, METRO MANILA, PHILIPPINES",METRO MANILA,NCR,MAXICARE-ACCREDITED DENTAL CLINIC,"<Point><coordinates>120.994232,14.562650,0.000000</coordinates></Point>",
880000000013335,AYT DENTAL CLINIC,"2464 A.F.B HARRISON ST., PASAY CITY, METRO MANILA, PHILIPPINES",METRO MANILA,NCR,MAXICARE-ACCREDITED DENTAL CLINIC,"<Point><coordinates>120.994354,14.544508,0.000000</coordinates></Point>",
880000000010858,THERAMEDICA HEALTH SYSTEMS INCORPORATED,"GOVERNOR’S DRIVE BANABA, SILANG, CAVITE, PHILIPPINES",CAVITE,REGION 4-A,MAXICARE-ACCREDITED CLINIC,"<Point><coordinates>120.995705,14.284388,0.000000</coordinates></Point>",
880000000009262,LAKAMBINI DIAGNOSTIC CENTER,"1991 UNIT E & F WARDLEY BUILDING., TAFT AVENUE, PASAY CITY, METRO MANILA, PHILIPPINES",METRO MANILA,NCR,MAXICARE-ACCREDITED CLINIC,"<Point><coordinates>120.996559,14.555817,0.000000</coordinates></Point>",
880000000009262,LAKAMBINI DIAGNOSTIC CENTER,"1991-A UNIT WARDLEY BLDG TAFT AVE., PASAY CITY, METRO MANILA, PHILIPPINES",METRO MANILA,NCR,MAXICARE-ACCREDITED DENTAL CLINIC,"<Point><coordinates>120.996559,14.555817,0.000000</coordinates></Point>",
880000000006050,OLIVAREZ GENERAL HOSPITAL,"DR. A. SANTOS AVE., SUCAT ROAD, PARAÑAQUE CITY, METRO MANILA, PHILIPPINES",METRO MANILA,NCR,MAXICARE-ACCREDITED HOSPITAL,"<Point><coordinates>120.996597,14.478439,0.000000</coordinates></Point>",
880000000001260,ALABANG MEDICAL CLINIC-TALON,"ALABANG-ZAPOTE ROAD CORNER PELAYO VILLAGE, TALON, LAS PIÑAS CITY, METRO MANILA, PHILIPPINES",METRO MANILA,NCR,MAXICARE-ACCREDITED HOSPITAL,"<Point><coordinates>120.996971,14.442826,0.000000</coordinates></Point>",
880000000012125,GOLDEN ACRES DOCTORS HOSPITAL,"B5 L5 CRYSTAL ST., GOLDEN ACRES SUBDIVISION TALON 5, LAS PIÑAS CITY, METRO MANILA, PHILIPPINES",METRO MANILA,NCR,MAXICARE-ACCREDITED HOSPITAL,"<Point><coordinates>120.998154,14.419167,0.000000</coordinates></Point>",
880000000013493,AVMF DENTAL ALLEY CLINIC,"GF-MMS 12 PASAY CITY MALL COR. ARNAIZ AVE.TAFT. AVE PASAY CITY, PASAY CITY, METRO MANILA, PHILIPPINES",METRO MANILA,NCR,MAXICARE-ACCREDITED DENTAL CLINIC,"<Point><coordinates>120.998383,14.547208,0.000000</coordinates></Point>",
880000000014649,JM DENTAL CLINIC,"#11 MIRASOL ST. PHASE 2 C.A.A, LAS PIÑAS CITY, METRO MANILA, PHILIPPINES",METRO MANILA,NCR,MAXICARE-ACCREDITED DENTAL CLINIC,"<Point><coordinates>120.998528,14.461693,0.000000</coordinates></Point>",
880000000000626,DE OCAMPO MEMORIAL MEDICAL CENTER,"2921 NAGTAHAN STREET STA. MESA, MANILA CITY, METRO MANILA, PHILIPPINES",METRO MANILA,NCR,MAXICARE-ACCREDITED HOSPITAL,"<Point><coordinates>120.999451,14.600108,0.000000</coordinates></Point>",
880000000014019,DENTAL SPOT CLINIC,"3/F SAVERS CENTER BLDG 245 EDSA EXT COR TAFT AVENUE, PASAY CITY, METRO MANILA, PHILIPPINES",METRO MANILA,NCR,MAXICARE-ACCREDITED DENTAL CLINIC,"<Point><coordinates>120.999870,14.537888,0.000000</coordinates></Point>",
880000000009757,SAFEWAY DIAGNOSTICS & MEDICAL CLINIC,"2972 CENTILLON BLDG., R. MAGSAYSAY BLVD. STA. MESA, MANILA CITY, METRO MANILA, PHILIPPINES",METRO MANILA,NCR,MAXICARE-ACCREDITED CLINIC,"<Point><coordinates>121.000587,14.600928,0.000000</coordinates></Point>",
880000000002222,ST. CLARE'S MEDICAL CENTER,"1838 DIAN ST. PALANAN, MAKATI CITY, METRO MANILA, PHILIPPINES",METRO MANILA,NCR,MAXICARE-ACCREDITED HOSPITAL,"<Point><coordinates>121.001282,14.563013,0.000000</coordinates></Point>",
880000000013013,HPD INTERNATIONAL,"674 N.S. AMORANTO SR., AVE., QUEZON CITY, METRO MANILA, PHILIPPINES",METRO MANILA,NCR,MAXICARE-ACCREDITED CLINIC,"<Point><coordinates>121.002205,14.632908,0.000000</coordinates></Point>",
880000000009389,ASIA PACIFIC MEDICAL & DIAGNOSTICS (APMD) INC,"3RD FLOOR ALSCOPHIL BLDG., 2053 EDISON ST, MAKATI CITY, METRO MANILA, PHILIPPINES",METRO MANILA,NCR,MAXICARE-ACCREDITED CLINIC,"<Point><coordinates>121.003456,14.553590,0.000000</coordinates></Point>",
880000000014402,"BANAWE DIAGNOSTIC MRI IMAGING CENTER, INC. - BANAWE","426 BANAWE AVE. COR. TIRAD PASS ST., QUEZON CITY, METRO MANILA, PHILIPPINES",METRO MANILA,NCR,MAXICARE-ACCREDITED CLINIC,"<Point><coordinates>121.003960,14.628232,0.000000</coordinates></Point>",
880000000014909,BRUAL DENTAL CLINIC,"#2 SAN SEBASTIAN ST., BAUAN, BATANGAS, PHILIPPINES",BATANGAS,REGION 4-A,MAXICARE-ACCREDITED DENTAL CLINIC,"<Point><coordinates>121.005234,13.790311,0.000000</coordinates></Point>",
880000000009064,LIFEMED CLINICS AND LABORATORY AND DIAGNOSTICS,"#92 BPI BLDG SEN GIL PUYAT AVE, MAKATI CITY, METRO MANILA, PHILIPPINES",METRO MANILA,NCR,MAXICARE-ACCREDITED CLINIC,"<Point><coordinates>121.007095,14.557401,0.000000</coordinates></Point>",
880000000002962,CLINICA TAMESIS MEDICAL CORPORATION,"42 CLINICA TAMESIS BLDG, QUEZON AVENUE, QUEZON CITY, METRO MANILA, PHILIPPINES",METRO MANILA,NCR,MAXICARE-ACCREDITED CLINIC,"<Point><coordinates>121.007286,14.622654,0.000000</coordinates></Point>",
880000000010963,DONICA DIAGNOSTIC & IMAGING SERVICES,"8162-E, DR. A SANTOS AVE (FORMERLY SUCAT ROAD) BRGY SAN DIONISIO (BESIDE LUZ FACIAL CARE), PARAÑAQUE CITY, METRO MANILA, PHILIPPINES",METRO MANILA,NCR,MAXICARE-ACCREDITED CLINIC,"<Point><coordinates>121.008308,14.470004,0.000000</coordinates></Point>",
880000000009456,DR. FE DEL MUNDO MEDICAL CENTER,"11 BANAWE ST. QUEZON CITY, QUEZON CITY, METRO MANILA, PHILIPPINES",METRO MANILA,NCR,MAXICARE-ACCREDITED HOSPITAL,"<Point><coordinates>121.009308,14.620435,0.000000</coordinates></Point>",
880000000014910,ABRUGENA DENTAL CLINIC,"15 A. BUENDIA ST., BAUAN, BATANGAS, PHILIPPINES",BATANGAS,REGION 4-A,MAXICARE-ACCREDITED DENTAL CLINIC,"<Point><coordinates>121.010025,13.792968,0.000000</coordinates></Point>",
880000000014329,WILMAR DIAGNOSTIC AND MEDICAL CLINIC,"UNIT 302 AMV BLDG., 1748 EVANGELISTA ST., MAKATI CITY, METRO MANILA, PHILIPPINES",METRO MANILA,NCR,MAXICARE-ACCREDITED CLINIC,"<Point><coordinates>121.010284,14.550713,0.000000</coordinates></Point>",
880000000013988,DENTISTRY BY DESIGN CO.,"UNIT 4A TRANS-PHIL HOUSE 1177 CHINO ROCES AVENUE COR. BAGTIKAN STS. MAKATI CITY, MAKATI CITY, METRO MANILA, PHILIPPINES",METRO MANILA,NCR,MAXICARE-ACCREDITED DENTAL CLINIC,"<Point><coordinates>121.011208,14.562712,0.000000</coordinates></Point>",
880000000013159,STO. DOMINGO DIAGNOSTIC AND MEDICAL CENTER CORP.,"ROOM 303-304 LM BUILDING, QUEZON AVENUE, QUEZON CITY, METRO MANILA, PHILIPPINES",METRO MANILA,NCR,MOBILE PROVIDER,"<Point><coordinates>121.011276,14.626742,0.000000</coordinates></Point>",
880000000009062,"CASA MEDICA, INC.","UNIT 88 LOWER GROUND FLOOR, SM SOUTHMALL, ALABANG ZAPOTE ROAD, LAS PIÑAS CITY, METRO MANILA, PHILIPPINES",METRO MANILA,NCR,MAXICARE-ACCREDITED CLINIC,"<Point><coordinates>121.011292,14.433641,0.000000</coordinates></Point>",
880000000000491,CHRISTIAN E. CANGCO MEDICAL CLINIC AND LABORATORY,"G/F DON CHINO ROCES AVENUE, SAN ANTONIO VILLAGE, MAKATI CITY, METRO MANILA, PHILIPPINES",METRO MANILA,NCR,MAXICARE-ACCREDITED CLINIC,"<Point><coordinates>121.011314,14.561072,0.000000</coordinates></Point>",
880000000013987,ABASTILLAS DENTAL HEALTH CLINIC,"15 COUNTRY HOMES COOM'L. CTR. LOPEZ ST., DR. A. SANTOS AVE. SUCAT PARAÑAQUE CITY, PARAÑAQUE CITY, METRO MANILA, PHILIPPINES",METRO MANILA,NCR,MAXICARE-ACCREDITED DENTAL CLINIC,"<Point><coordinates>121.011887,14.468352,0.000000</coordinates></Point>",
880000000013016,MEDHAUS MULTI-SPECIALTY & DIAGNOSTIC CLINIC,"719 BULACAN ST., GAGALANGIN, TONDO, MANILA CITY, METRO MANILA, PHILIPPINES",METRO MANILA,NCR,MAXICARE-ACCREDITED CLINIC,"<Point><coordinates>121.012711,14.577893,0.000000</coordinates></Point>",
880000000014648,PAGAYONAN DENTAL CLINIC,"10TH COR. 1ST STS., VILLAMOR AIR BASE, PASAY CITY, METRO MANILA, PHILIPPINES",METRO MANILA,NCR,MAXICARE-ACCREDITED DENTAL CLINIC,"<Point><coordinates>121.013245,14.525368,0.000000</coordinates></Point>",
880000000012113,KONSULTA @ RESULTA MEDICAL CLINIC AND LABORATORY,"2/F NEWTON PLAZA BLDG. #4408 OLD STA. MESA, MANILA CITY, METRO MANILA, PHILIPPINES",METRO MANILA,NCR,MAXICARE-ACCREDITED CLINIC,"<Point><coordinates>121.014282,14.600149,0.000000</coordinates></Point>",
880000000013985,JEFFREY B. CHUA DENTAL CLINIC,"SUITE 1409 14/F MEDICAL PLAZA MAKATI AMORSOLO COR. DELA ROSA STS. LEGAZPI VILLAGE MAKATI CITY, MAKATI CITY, METRO MANILA, PHILIPPINES",METRO MANILA,NCR,MAXICARE-ACCREDITED DENTAL CLINIC,"<Point><coordinates>121.014359,14.558351,0.000000</coordinates></Point>",
880000000014136,DR. RAMON ANTONIO S. SARMIENTO REHABILITATION CLINIC-MAKATI,"UNIT 1706, MEDICAL PLAZA BLDG., AMORSOLO COR. DELA ROSA ST., LEGASPI VILLAGE, MAKATI CITY, METRO MANILA, PHILIPPINES",METRO MANILA,NCR,MAXICARE-ACCREDITED CLINIC,"<Point><coordinates>121.014397,14.558442,0.000000</coordinates></Point>",
880000000009684,6F AESTHETIC AND ANTI AGING CENTER,"1411 MPM MEDICAL PLAZA MAKATI COR. DELA ROSA AND AMORSOLO STS., LEGASPI VILLAGE, MAKATI CITY, METRO MANILA, PHILIPPINES",METRO MANILA,NCR,MAXICARE-ACCREDITED CLINIC,"<Point><coordinates>121.014420,14.558366,0.000000</coordinates></Point>",
880000000009368,ABESAMIS & ASSOCIATES EYE CARE CENTER-MAKATI,"904 MEDICAL PLAZA MAKATI CORNER DELA ROSA & AMORSOLO STREETS, LEGASPI VILLAGE, MAKATI CITY, METRO MANILA, PHILIPPINES",METRO MANILA,NCR,MAXICARE-ACCREDITED CLINIC,"<Point><coordinates>121.014420,14.558377,0.000000</coordinates></Point>",
880000000013199,DR. EDRIC O. CASTILLO DENTAL CLINIC,"SUITE 1807 MEDICAL PLAZA MAKATI AMORSOLO COR. DELA ROSA ST. LEGASPI VILL. MAKATI, MAKATI CITY, METRO MANILA, PHILIPPINES",METRO MANILA,NCR,MAXICARE-ACCREDITED DENTAL CLINIC,"<Point><coordinates>121.014427,14.558206,0.000000</coordinates></Point>",
880000000001263,ALABANG MEDICAL CLINIC-ALMANZA,"2ND FLR. SUSANA ARCADE, LAS PIÑAS CITY, METRO MANILA, PHILIPPINES",METRO MANILA,NCR,MAXICARE-ACCREDITED CLINIC,"<Point><coordinates>121.014885,14.430929,0.000000</coordinates></Point>",
880000000013980,MAD DENTAL REHABILITATION CENTER,"169 CITYLAND 8, 98 SEN. GIL PUYAT AVENUE MAKATI CITY, MAKATI CITY, METRO MANILA, PHILIPPINES",METRO MANILA,NCR,MAXICARE-ACCREDITED DENTAL CLINIC,"<Point><coordinates>121.015282,14.556471,0.000000</coordinates></Point>",
880000000013761,ARTENCJEN DENTAL CLINIC,"11232 A JM LOYOLA ST. MABUHAY, CARMONA, CAVITE, PHILIPPINES",CAVITE,REGION 4-A,MAXICARE-ACCREDITED DENTAL CLINIC,"<Point><coordinates>121.016296,14.293329,0.000000</coordinates></Point>",
880000000002698,BROZAS DENTAL CLINIC,"2/F LURIELL BLDG. DR. A. SANTOS AVE. SUCAT PARAÑAQUE CITY, PARAÑAQUE CITY, METRO MANILA, PHILIPPINES",METRO MANILA,NCR,MAXICARE-ACCREDITED DENTAL CLINIC,"<Point><coordinates>121.016464,14.466015,0.000000</coordinates></Point>",
880000000006028,DE LOS SANTOS STI MEDICAL CENTER,"201 E. RODRIGUEZ SR., QUEZON CITY, METRO MANILA, PHILIPPINES",METRO MANILA,NCR,MAXICARE-ACCREDITED HOSPITAL,"<Point><coordinates>121.017555,14.619818,0.000000</coordinates></Point>",
880000000014378,DR. RENATO C. OBISPO DENTAL CLINIC,"SUITE 503, MEDICAL TOWERS MAKATI, V. RUFINO ST. LEGASPI VILLAGE,, MAKATI CITY, METRO MANILA, PHILIPPINES",METRO MANILA,NCR,MAXICARE-ACCREDITED DENTAL CLINIC,"<Point><coordinates>121.017815,14.557105,0.000000</coordinates></Point>",
880000000014345,CHUGANI DENTAL OFFICE,"RM. 506 MEDICAL TOWERS MAKATI, RUFINO ST. LEGASPI VILLAGE, MAKATI CITY, METRO MANILA, PHILIPPINES",METRO MANILA,NCR,MAXICARE-ACCREDITED DENTAL CLINIC,"<Point><coordinates>121.017860,14.557105,0.000000</coordinates></Point>",
880000000013200,PDC PREMIERE DENTAL CENTER CO.,"UNIT 601 MEDICAL TOWERS MAKATI 103 V.A RUFINO ST. LEGASPI VILL MAKATI CITY, MAKATI CITY, METRO MANILA, PHILIPPINES",METRO MANILA,NCR,MAXICARE-ACCREDITED DENTAL CLINIC,"<Point><coordinates>121.017899,14.556814,0.000000</coordinates></Point>",
880000000013294,"DOMINIC LEMUEL B. SEVILLA, DMD DENTAL CLINIC","1410 MEDICAL PLAZA MAKATI, AMORSOLO COR. DELA ROSA STS. MAKATI, MAKATI CITY, METRO MANILA, PHILIPPINES",METRO MANILA,NCR,MAXICARE-ACCREDITED DENTAL CLINIC,"<Point><coordinates>121.018356,14.566264,0.000000</coordinates></Point>",
880000000013127,DENTAL AWARENESS CARD INC-MAKATI CLINIC,"UNIT 1619, REGENCY, DELA ROSA CORNER RADA, LEGASPI VILLAGE, MAKATI CITY, METRO MANILA, PHILIPPINES",METRO MANILA,NCR,MAXICARE-ACCREDITED DENTAL CLINIC,"<Point><coordinates>121.018913,14.556461,0.000000</coordinates></Point>",
880000000013081,ARROYO DENTAL CLINIC,"UPPER GROUND UNIT 6, STARCENTRUM CONDOMINIUM 317, SEN. GIL PUYAT AVE. COR. MALUGAY ST. BEL AIR,, MAKATI CITY, METRO MANILA, PHILIPPINES",METRO MANILA,NCR,MAXICARE-ACCREDITED DENTAL CLINIC,"<Point><coordinates>121.019547,14.562032,0.000000</coordinates></Point>",
880000000013147,DR. ELAINE SILVA COMPREHENSIVE DENT-ORTHO DENTAL CLINIC,"UNIT 1220 CITYLAND HERRERA TOWER SALCEDO VILL., MAKATI CITY, METRO MANILA, MAKATI CITY, METRO MANILA, PHILIPPINES",METRO MANILA,NCR,MAXICARE-ACCREDITED DENTAL CLINIC,"<Point><coordinates>121.019554,14.558974,0.000000</coordinates></Point>",
880000000013146,DR. ODETTE M. DAVID DENTAL CLINIC,"UNIT 1121 HERRERA TOWER RUFINO ST. COR. VALERO SALCEDO VILL., MAKATI CITY, MAKATI CITY, METRO MANILA, PHILIPPINES",METRO MANILA,NCR,MAXICARE-ACCREDITED DENTAL CLINIC,"<Point><coordinates>121.019577,14.558974,0.000000</coordinates></Point>",
880000000009722,CLINICA DE LA LUZ,"3542 LUBIRAN ST., BACOOD, STA. MESA, MANILA CITY, METRO MANILA, PHILIPPINES",METRO MANILA,NCR,MAXICARE-ACCREDITED CLINIC,"<Point><coordinates>121.020790,14.590301,0.000000</coordinates></Point>",
880000000014350,HARIETH JOY R. MARTIREZ DENTAL SUITE,"UNIT 2H, 2ND FLR., ISOSCELES COMMERCIAL CENTER, #401 JP RIZAL ST. NAMAYAN, MANDALUYONG CITY, METRO MANILA, PHILIPPINES",METRO MANILA,NCR,MAXICARE-ACCREDITED DENTAL CLINIC,"<Point><coordinates>121.021187,14.583293,0.000000</coordinates></Point>",
880000000006020,CAPITOL MEDICAL CENTER,"SCOUT MAGBANUA COR. PANAY AVENUE, QUEZON CITY, METRO MANILA, PHILIPPINES",METRO MANILA,NCR,MAXICARE-ACCREDITED HOSPITAL,"<Point><coordinates>121.022858,14.633874,0.000000</coordinates></Point>",
880000000014064,IMMUNOBOOSTERS CO.,"SUITE 206 2ND FLOOR, # 1113 ANTIPOLO STREET CORNER J.P. RIZAL BARANGAY VALENZUELA, MAKATI CITY, METRO MANILA, PHILIPPINES",METRO MANILA,NCR,MAXICARE-ACCREDITED CLINIC,"<Point><coordinates>121.024460,14.569703,0.000000</coordinates></Point>",
880000000006098,ALABANG MEDICAL CENTER,"ALABANG-ZAPOTE ROAD, MUNTINLUPA CITY, METRO MANILA, PHILIPPINES",METRO MANILA,NCR,MAXICARE-ACCREDITED HOSPITAL,"<Point><coordinates>121.024490,14.427698,0.000000</coordinates></Point>",
880000000013334,TC DENTAL CLINIC,"UNIT 9 AURORA BLDG. ALABANG ZAPOTE RD., MUNTINLUPA, MUNTINLUPA CITY, METRO MANILA, PHILIPPINES",METRO MANILA,NCR,MAXICARE-ACCREDITED DENTAL CLINIC,"<Point><coordinates>121.024849,14.427682,0.000000</coordinates></Point>",
880000000009393,VALULIFE MOBILE X-RAY AND LABORATORY SERVICES,"G/F AURORA BLDG., ALABANG-ZAPOTE ROAD, ALABANG, MUNTINLUPA CITY, METRO MANILA, PHILIPPINES",METRO MANILA,NCR,MAXICARE-ACCREDITED CLINIC,"<Point><coordinates>121.025009,14.427495,0.000000</coordinates></Point>",
880000000001796,PATIENT FIRST MEDICAL CENTER,"3RD FLOOR MERCURY DRUG BLDG., GLORIETTA, AYALA CENTER, MAKATI CITY, METRO MANILA, PHILIPPINES",METRO MANILA,NCR,MAXICARE-ACCREDITED CLINIC,"<Point><coordinates>121.025085,14.552086,0.000000</coordinates></Point>",
880000000014586,CLINICA MANILA WEST AVENUE INC.,"2ND FLR, HOLLYWOOD SQUARE BLDG. 33 WEST AVE, QUEZON CITY, METRO MANILA, PHILIPPINES",METRO MANILA,NCR,MAXICARE-ACCREDITED CLINIC,"<Point><coordinates>121.026199,14.639324,0.000000</coordinates></Point>",
880000000014546,PERFECT SIGHT EYE CENTER,"3/F SMNE-UNIT 306-308 (BLDG, F) SM CITY NORTH EDSA BAGONG PAG-ASA, QUEZON CITY, METRO MANILA, PHILIPPINES",METRO MANILA,NCR,MAXICARE-ACCREDITED CLINIC,"<Point><coordinates>121.029510,14.657660,0.000000</coordinates></Point>",
880000000012926,"ALABANG CATARACT AND LASIK CENTER, INC.","2ND FLOOR COMMERCE MALL, ALABANG TOWN CENTER, ALABANG, MUNTINLUPA CITY, METRO MANILA, PHILIPPINES",METRO MANILA,NCR,MAXICARE-ACCREDITED CLINIC,"<Point><coordinates>121.029861,14.422570,0.000000</coordinates></Point>",
880000000009419,HEALTH ALERT MEDICAL & DIAGNOSTIC CENTER,"UNIT 5 PARAMOUNT BLDG., PHILAM HOMES, QUEZON CITY, METRO MANILA, PHILIPPINES",METRO MANILA,NCR,MAXICARE-ACCREDITED CLINIC,"<Point><coordinates>121.030037,14.654603,0.000000</coordinates></Point>",
880000000009251,ASIA RENAL CARE (PHILIPPINES) INC-ALABANG,"2ND FLR., ALABANG TOWN CENTER, ALABANG, MUNTINLUPA CITY, METRO MANILA, PHILIPPINES",METRO MANILA,NCR,MAXICARE-ACCREDITED CLINIC,"<Point><coordinates>121.030640,14.423874,0.000000</coordinates></Point>",
880000000013172,TOOTH SAVERS CO.,"20 B HILARIO BLDG.PRESIDENTS AVE. BF HOMES SUCAT, PARAÑAQUE CITY, METRO MANILA, PARAÑAQUE CITY, METRO MANILA, PHILIPPINES",METRO MANILA,NCR,MAXICARE-ACCREDITED DENTAL CLINIC,"<Point><coordinates>121.031120,14.457662,0.000000</coordinates></Point>",
880000000013285,HOLY FAMILY DENTAL CLINIC,"500 ALIW ST. BONI AVE. MANDALUYONG CITY, MANDALUYONG CITY, METRO MANILA, MANDALUYONG CITY, METRO MANILA, PHILIPPINES",METRO MANILA,NCR,MAXICARE-ACCREDITED DENTAL CLINIC,"<Point><coordinates>121.031738,14.588624,0.000000</coordinates></Point>",
880000000006029,DR. JESUS C. DELGADO MEMORIAL HOSPITAL,"7 KAMUNING ROAD, QUEZON CITY, METRO MANILA, PHILIPPINES",METRO MANILA,NCR,MAXICARE-ACCREDITED HOSPITAL,"<Point><coordinates>121.034561,14.627656,0.000000</coordinates></Point>",
880000000000243,BERNARDINO GENERAL HOSPITAL I,"680 QUIRINO HI-WAY SAN BARTOLOME NOVALICHES, QUEZON CITY, METRO MANILA, PHILIPPINES",METRO MANILA,NCR,MAXICARE-ACCREDITED HOSPITAL,"<Point><coordinates>121.034798,14.700306,0.000000</coordinates></Point>",
880000000009726,"D' FAMILY CARE CLINIC, INC.-NOVALICHES","216 GEN. LUIS STREET, NOVALICHES, QUEZON CITY, METRO MANILA, PHILIPPINES",METRO MANILA,NCR,MAXICARE-ACCREDITED CLINIC,"<Point><coordinates>121.036079,14.721740,0.000000</coordinates></Point>",
880000000014117,MINUTE HEALTHCARE,"#238 SCT. BAYORAN, TOMAS MORATO AVE., BRGY. SOUTH TRIANGLE, QUEZON CITY, METRO MANILA, PHILIPPINES",METRO MANILA,NCR,MAXICARE-ACCREDITED CLINIC,"<Point><coordinates>121.036201,14.637938,0.000000</coordinates></Point>",
880000000014647,SMILEWORLD DENTAL CENTER,"2F EPG BUILDING, DONA SOLEDAD AVE., BETTERLIVING SUBD,, PARAÑAQUE CITY, METRO MANILA, PHILIPPINES",METRO MANILA,NCR,MAXICARE-ACCREDITED DENTAL CLINIC,"<Point><coordinates>121.036636,14.482657,0.000000</coordinates></Point>",
880000000014405,"BDM IMAGING CENTER, INC.-MANDALUYONG","UNIT 2A LIGAYA ST., MIRALEN BLDG., BRGY., PLAINVIEW, BONI AVE., MANDALUYONG CITY, METRO MANILA, PHILIPPINES",METRO MANILA,NCR,MAXICARE-ACCREDITED CLINIC,"<Point><coordinates>121.038620,14.576473,0.000000</coordinates></Point>",
880000000013519,DYNAMICARE MEDICAL CLINIC AND DIAGNOSTIC LABORATORY,"4TH FLR., NORTHRIDGE PLAZA, CONGRESSIONAL AVE., BRGY. BAHAY TORO, QUEZON CITY, METRO MANILA, PHILIPPINES",METRO MANILA,NCR,MAXICARE-ACCREDITED CLINIC,"<Point><coordinates>121.039017,14.670743,0.000000</coordinates></Point>",
880000000009721,THE HEALTH CUBE MULTISPECIALTY CLINIC AND DIAGNOSTIC CENTER,"2/F THE HEALTH CUBE CENTER, 226 WILSON ST., GREENHILLS, SAN JUAN, METRO MANILA, PHILIPPINES",METRO MANILA,NCR,MAXICARE-ACCREDITED CLINIC,"<Point><coordinates>121.041275,14.597258,0.000000</coordinates></Point>",
880000000013150,DR. LEILA S. AGUILAR DENTAL CLINIC,"3RD GROUND FLOOR FREEDOM PLAZA LIBERTY CENTER, MANDALUYONG CITY, METRO MANILA, MANDALUYONG CITY, METRO MANILA, PHILIPPINES",METRO MANILA,NCR,MAXICARE-ACCREDITED DENTAL CLINIC,"<Point><coordinates>121.041916,14.588650,0.000000</coordinates></Point>",
880000000012874,DR. RAMON ANTONIO S. SARMIENTO REHABILITATION CLINIC,"UNIT 606, 2301 CIVIC PLACE, FILINVEST ALABANG, MUNTINLUPA CITY, METRO MANILA, PHILIPPINES",METRO MANILA,NCR,MAXICARE-ACCREDITED CLINIC,"<Point><coordinates>121.043427,14.414185,0.000000</coordinates></Point>",
880000000009092,ASIAN HOSPITAL AND MEDICAL CENTER,"BLK 15 LOT 1B, CIVIC DRIVE COR CENTENNIAL LANE, FILINVEST CORPORATION CITY, ALABANG, MUNTINLUPA CITY, METRO MANILA, PHILIPPINES",METRO MANILA,NCR,MAXICARE-ACCREDITED HOSPITAL,"<Point><coordinates>121.043701,14.413296,0.000000</coordinates></Point>",
880000000009444,"CENTRALLE MEDICAL DIAGNOSTICS AND POLYCLINIC, INC.-CAMARIN","UNIT 5-7 RDF BUILDING, OLD ZABARTE ROAD, CAMARIN NOVALICHES, QUEZON CITY, METRO MANILA, PHILIPPINES",METRO MANILA,NCR,MAXICARE-ACCREDITED CLINIC,"<Point><coordinates>121.043755,14.770235,0.000000</coordinates></Point>",
